CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2001-01-01T18:15:24.675263","10.82508649","0.18555050","34.2357","132.0739","94.0689","287.2859","0","U","5","999","43403","0.00045510000000","0.00000335","0.0000000000000","8632.061","133.024","3855.610","652.243","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","35610","35514667","0 VANGUARD 1","1 00005U 58002B   01001.76070226 +.00000335 +00000-0 +45510-3 0  9991","2 00005 034.2357 132.0739 1855505 094.0689 287.2859 10.82508649434039"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2001-01-01T16:02:32.133407","10.82508584","0.18555070","34.2357","132.3570","93.6553","287.6881","0","U","5","999","43402","0.00045520000000","0.00000335","0.0000000000000","8632.062","133.024","3855.612","652.241","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","35610","35505107","0 VANGUARD 1","1 00005U 58002B   01001.66842747 +.00000335 +00000-0 +45520-3 0  9996","2 00005 034.2357 132.3570 1855507 093.6553 287.6881 10.82508584434028"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2001-01-02T18:37:01.212672","10.82509003","0.18557020","34.2346","128.9592","98.6005","282.8083","0","U","5","999","43414","0.00044455000000","0.00000328","0.0000000000000","8632.059","133.024","3855.777","652.071","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","35610","35520154","0 VANGUARD 1","1 00005U 58002B   01002.77570848 +.00000328 +00000-0 +44455-3 0  9997","2 00005 034.2346 128.9592 1855702 098.6005 282.8083 10.82509003434146"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2001-01-01T22:39:34.087391","11.77526962","0.15051890","32.8832","339.0774","270.2890","72.5956","0","U","11","999","77488","0.00163290000000","0.00003001","0.0000000000000","8161.216","122.290","3011.498","554.663","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","35610","35514668","0 VANGUARD 2","1 00011U 59001A   01001.94414453 +.00003001 +00000-0 +16329-2 0  9990","2 00011 032.8832 339.0774 1505189 270.2890 072.5956 11.77526962774884"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2001-01-01T08:24:37.682496","11.77523633","0.15052320","32.8830","341.2771","266.9835","75.8130","0","U","11","999","77481","0.00164430000000","0.00003023","0.0000000000000","8161.231","122.290","3011.551","554.641","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","35610","35505108","0 VANGUARD 2","1 00011U 59001A   01001.35043614 +.00003023 +00000-0 +16443-2 0  9993","2 00011 032.8830 341.2771 1505232 266.9835 075.8130 11.77523633774819"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2001-01-02T23:05:13.111583","11.77532178","0.15050040","32.8838","335.3098","275.9425","67.2212","0","U","11","999","77500","0.00159200000000","0.00002923","0.0000000000000","8161.192","122.289","3011.319","554.794","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","35610","35520155","0 VANGUARD 2","1 00011U 59001A   01002.96195731 +.00002923 +00000-0 +15920-2 0  9996","2 00011 032.8838 335.3098 1505004 275.9425 067.2212 11.77532178775007"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2001-01-01T22:03:45.005759","11.36897055","0.17023980","32.9166","270.2609","311.2896","35.2848","0","U","12","999","71006","0.00124440000000","0.00002091","0.0000000000000","8354.517","126.660","3398.653","554.110","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","35610","35514669","0 VANGUARD R/B","1 00012U 59001B   01001.91927090 +.00002091 +00000-0 +12444-2 0  9996","2 00012 032.9166 270.2609 1702398 311.2896 035.2848 11.36897055710067"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2001-01-01T17:50:40.595423","11.36896630","0.17024040","32.9167","270.8679","310.3774","35.9919","0","U","12","999","71004","0.00126270000000","0.00002121","0.0000000000000","8354.519","126.660","3398.660","554.107","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","35610","35505109","0 VANGUARD R/B","1 00012U 59001B   01001.74352541 +.00002121 +00000-0 +12627-2 0  9997","2 00012 032.9167 270.8679 1702404 310.3774 035.9919 11.36896630710046"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2001-01-02T21:15:39.854015","11.36900419","0.17023360","32.9162","266.9239","316.3063","31.4413","0","U","12","999","71017","0.00120600000000","0.00002024","0.0000000000000","8354.500","126.660","3398.582","554.148","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","35610","35520156","0 VANGUARD R/B","1 00012U 59001B   01002.88587794 +.00002024 +00000-0 +12060-2 0  9996","2 00012 032.9162 266.9239 1702336 316.3063 031.4413 11.36900419710175"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:28:03","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2001-01-01T18:14:18.308831","10.47022516","0.20302130","34.2545","134.3639","182.9224","175.7598","0","U","16","999","71311","0.00173980000000","0.00001232","0.0000000000000","8826.017","137.532","4239.751","656.012","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","35610","35514670","0 VANGUARD R/B","1 00016U 58002A   01001.75993413 +.00001232 +00000-0 +17398-2 0  9993","2 00016 034.2545 134.3639 2030213 182.9224 175.7598 10.47022516713113"
