CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-02T12:48:57","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2010-01-01T16:01:10.598591","10.83970186","0.18499310","34.2373","107.4421","94.7005","286.6049","0","U","5","999","79064","-0.00012589000000","-0.00000117","0.0000000000000","8624.300","132.844","3841.601","650.729","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","822387","75825577","0 VANGUARD 1","1 00005U 58002B   10001.66748378 -.00000117 +00000-0 -12589-3 0  9990","2 00005 034.2373 107.4421 1849931 094.7005 286.6049 10.83970186790642"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-01T08:00:20","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2010-01-01T11:35:47.104512","10.83970215","0.18499570","34.2373","108.0085","93.8732","287.4129","0","U","5","999","79062","-0.00012734000000","-0.00000118","0.0000000000000","8624.300","132.844","3841.624","650.707","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","821993","75816912","0 VANGUARD 1","1 00005U 58002B   10001.48318408 -.00000118  00000-0 -12734-3 0  9990","2 00005 034.2373 108.0085 1849957 093.8732 287.4129 10.83970215790629"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-03T13:01:52","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2010-01-02T16:20:48.239231","10.83969810","0.18500150","34.2375","104.3255","99.2522","282.0867","0","U","5","999","79075","-0.00015143000000","-0.00000136","0.0000000000000","8624.302","132.845","3841.676","650.658","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","823373","75836185","0 VANGUARD 1","1 00005U 58002B   10002.68111388 -.00000136 +00000-0 -15143-3 0  9998","2 00005 034.2375 104.3255 1850015 099.2522 282.0867 10.83969810790756"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-02T12:48:57","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2010-01-01T22:50:42.538271","11.82502645","0.14818300","32.8823","325.1951","335.0967","18.4667","0","U","11","999","16376","0.00010767000000","0.00000212","0.0000000000000","8138.306","121.775","2966.130","554.212","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","822387","75825578","0 VANGUARD 2","1 00011U 59001A   10001.95188123 +.00000212 +00000-0 +10767-3 0  9995","2 00011 032.8823 325.1951 1481830 335.0967 018.4667 11.82502645163763"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-01T08:24:39","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2010-01-01T04:35:49.064640","11.82502407","0.14818940","32.8826","328.0357","330.8272","21.6873","0","U","11","999","16367","0.00010943000000","0.00000218","0.0000000000000","8138.307","121.775","2966.183","554.161","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","822024","75817626","0 VANGUARD 2","1 00011U 59001A   10001.19154010  .00000218  00000-0  10943-3 0  9991","2 00011 032.8826 328.0357 1481894 330.8272 021.6873 11.82502407163671"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-02T08:41:11","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2010-01-02T06:57:19.733471","11.82502900","0.14818210","32.8820","323.9328","336.9939","17.0419","0","U","11","999","16380","0.00011396000000","0.00000223","0.0000000000000","8138.305","121.775","2966.121","554.219","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","822379","75825444","0 VANGUARD 2","1 00011U 59001A   10002.28981173  .00000223  00000-0  11396-3 0  9999","2 00011 032.8820 323.9328 1481821 336.9939 017.0419 11.82502900163802"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-03T13:01:52","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2010-01-02T21:08:55.148639","11.82503300","0.14818190","32.8820","321.7252","340.3128","14.5640","0","U","11","999","16387","0.00012142000000","0.00000235","0.0000000000000","8138.303","121.775","2966.117","554.219","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","823373","75836186","0 VANGUARD 2","1 00011U 59001A   10002.88119385 +.00000235 +00000-0 +12142-3 0  9996","2 00011 032.8820 321.7252 1481819 340.3128 014.5640 11.82503300163870"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-01T00:04:10","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2010-01-01T02:24:24.403679","11.41260370","0.16808570","32.9023","10.6429","190.8424","165.1040","0","U","12","999","8528","-0.00008617200000","-0.00000117","0.0000000000000","8333.209","126.176","3355.767","554.381","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","821903","75815250","0 VANGUARD R/B","1 00012U 59001B   10001.10028245 -.00000117  00000-0 -86172-4 0  9991","2 00012 032.9023 010.6429 1680857 190.8424 165.1040 11.41260370 85284"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-02T12:48:57","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2010-01-01T08:42:16.498079","11.41260273","0.16808960","32.9026","9.7293","192.2176","163.2172","0","U","12","999","8531","-0.00008732600000","-0.00000119","0.0000000000000","8333.209","126.176","3355.800","554.348","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","822387","75825579","0 VANGUARD R/B","1 00012U 59001B   10001.36269095 -.00000119 +00000-0 -87326-4 0  9993","2 00012 032.9026 009.7293 1680896 192.2176 163.2172 11.41260273085319"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2010-01-02T16:04:47","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2010-01-02T09:53:45.737088","11.41259986","0.16808130","32.9031","6.0739","197.7096","155.7172","0","U","12","999","8543","-0.00008649100000","-0.00000115","0.0000000000000","8333.211","126.176","3355.733","554.419","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","822482","75835166","0 VANGUARD R/B","1 00012U 59001B   10002.41233492 -.00000115  00000-0 -86491-4 0  9990","2 00012 032.9031 006.0739 1680813 197.7096 155.7172 11.41259986 85438"
