CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-02T00:14:32","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2015-01-01T16:28:14.659391","10.84463169","0.18445230","34.2405","249.0501","21.9680","345.0613","0","U","5","999","98882","0.00034185000000","0.00000250","0.0000000000000","8621.681","132.784","3833.835","653.257","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","1803153","97957469","0 VANGUARD 1","1 00005U 58002B   15001.68628078  .00000250  00000-0  34185-3 0  9993","2 00005 034.2405 249.0501 1844523 021.9680 345.0613 10.84463169988828"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-02T15:30:43","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2015-01-02T06:44:09.481055","11.84759829","0.14721540","32.8732","335.0358","164.9571","200.0109","0","U","11","999","38013","0.00010922000000","0.00000223","0.0000000000000","8127.961","121.543","2946.387","553.265","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","1803459","97963291","0 VANGUARD 2","1 00011U 59001A   15002.28066529  .00000223  00000-0  10922-3 0  9997","2 00011 032.8732 335.0358 1472154 164.9571 200.0109 11.84759829380134"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-03T07:23:43","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2015-01-02T17:36:52.967231","11.43493235","0.16706530","32.8991","120.3941","43.1336","328.8667","0","U","12","999","29428","0.00008984600000","0.00000142","0.0000000000000","8322.352","125.929","3334.593","553.841","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","1803903","97968796","0 VANGUARD R/B","1 00012U 59001B   15002.73394638  .00000142  00000-0  89846-4 0  9995","2 00012 032.8991 120.3941 1670653 043.1336 328.8667 11.43493235294285"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-01T14:58:08","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2015-01-01T05:39:55.320480","11.54241809","0.16729280","33.3445","82.4416","133.9830","241.1482","0","U","20","999","99994","0.00028012000000","0.00000678","0.0000000000000","8270.605","124.757","3276.083","508.857","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","1802935","97953207","0 VANGUARD 3","1 00020U 59007A   15001.23605695  .00000678  00000-0  28012-3 0  9993","2 00020 033.3445 082.4416 1672928 133.9830 241.1482 11.54241809999940"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-02T15:06:29","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2015-01-02T06:34:38.562815","11.54243138","0.16728900","33.3450","78.7521","139.4763","234.3236","0","U","20","999","6","0.00028201000000","0.00000685","0.0000000000000","8270.599","124.757","3276.044","508.883","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","1803419","97962382","0 VANGUARD 3","1 00020U 59007A   15002.27405744  .00000685  00000-0  28201-3 0  9999","2 00020 033.3450 078.7521 1672890 139.4763 234.3236 11.54243138    69"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-02T14:40:29","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2015-01-02T08:15:29.369088","14.90909270","0.01505700","50.2856","76.6546","217.9592","141.0664","0","U","22","999","92734","0.00033184000000","0.00003818","0.0000000000000","6973.235","96.585","700.096","490.104","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","1803377","97961340","0 EXPLORER 7","1 00022U 59009A   15002.34408992  .00003818  00000-0  33184-3 0  9996","2 00022 050.2856 076.6546 0150570 217.9592 141.0664 14.90909270927347"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-01T14:37:07","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2015-01-01T04:54:43.188191","14.90898279","0.01505950","50.2855","81.9652","213.6318","145.4999","0","U","22","999","92717","0.00043084000000","0.00005048","0.0000000000000","6973.270","96.586","700.149","490.121","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","1802903","97952398","0 EXPLORER 7","1 00022U 59009A   15001.20466653  .00005048  00000-0  43084-3 0  9995","2 00022 050.2855 081.9652 0150595 213.6318 145.4999 14.90898279927175"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-02T22:12:15","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2015-01-02T05:09:58.060512","14.73553146","0.00244410","48.3804","352.1205","346.8107","13.2163","0","U","29","999","92458","0.00011293000000","0.00000539","0.0000000000000","7027.884","97.722","666.926","632.572","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","1803553","97964607","0 TIROS 1","1 00029U 60002B   15002.21525533  .00000539  00000-0  11293-3 0  9999","2 00029 048.3804 352.1205 0024441 346.8107 013.2163 14.73553146924585"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-01T14:12:04","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2015-01-01T04:45:17.743391","14.73551744","0.00245050","48.3804","356.9145","342.5053","17.5012","0","U","29","999","92443","0.00011946000000","0.00000582","0.0000000000000","7027.889","97.723","666.976","632.532","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","1802864","97951416","0 TIROS 1","1 00029U 60002B   15001.19812203  .00000582  00000-0  11946-3 0  9991","2 00029 048.3804 356.9145 0024505 342.5053 017.5012 14.73551744924430"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2015-01-01T06:57:14","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2015-01-01T02:10:53.135327","14.33213962","0.02613370","66.6936","235.4371","325.8470","89.2872","0","U","45","999","83685","0.00007435600000","0.00000191","0.0000000000000","7159.144","100.473","968.104","593.914","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","1802815","97950308","0 TRANSIT 2A","1 00045U 60007A   15001.09089277  .00000191  00000-0  74356-4 0  9991","2 00045 066.6936 235.4371 0261337 325.8470 089.2872 14.33213962836853"
