CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2000-01-01T20:37:12.112607","10.82311995","0.18596480","34.2581","174.4866","254.6030","84.2439","0","U","5","999","39438","0.00035243000000","0.00000298","0.0000000000000","8633.107","133.048","3860.426","649.518","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","35578","32314961","0 VANGUARD 1","1 00005U 58002B   00001.85916797 +.00000298 +00000-0 +35243-3 0  9992","2 00005 034.2581 174.4866 1859648 254.6030 084.2439 10.82311995394383"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2000-01-02T20:58:59.846591","10.82312427","0.18596270","34.2581","171.3735","259.1498","79.5409","0","U","5","999","39449","0.00033729000000","0.00000286","0.0000000000000","8633.104","133.048","3860.405","649.534","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","35578","32314962","0 VANGUARD 1","1 00005U 58002B   00002.87430378 +.00000286 +00000-0 +33729-3 0  9995","2 00005 034.2581 171.3735 1859627 259.1498 079.5409 10.82312427394496"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2000-01-01T00:15:21.340224","11.75793259","0.15108210","32.8791","256.2401","29.7458","338.1044","0","U","11","999","73164","0.00125280000000","0.00002224","0.0000000000000","8169.236","122.470","3025.327","556.876","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","35578","32314963","0 VANGUARD 2","1 00011U 59001A   00001.01066366  .00002224  00000-0  12528-2 0  9996","2 00011 032.8791 256.2401 1510821 029.7458 338.1044 11.75793259731640"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2000-01-02T02:45:53.198784","11.75796941","0.15108420","32.8783","252.1624","35.8828","333.4363","0","U","11","999","73177","0.00118160000000","0.00002097","0.0000000000000","8169.219","122.470","3025.324","556.844","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","35578","32314964","0 VANGUARD 2","1 00011U 59001A   00002.11519906 +.00002097 +00000-0 +11816-2 0  9998","2 00011 032.8783 252.1624 1510842 035.8828 333.4363 11.75796941731772"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2000-01-01T12:19:37.581888","11.35441065","0.17055080","32.9002","94.8753","211.2014","137.5022","0","U","12","999","66837","0.00162160000000","0.00002655","0.0000000000000","8361.657","126.822","3409.610","557.435","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","35578","32314967","0 VANGUARD R/B","1 00012U 59001B   00001.51362942  .00002655  00000-0  16216-2 0  9997","2 00012 032.9002 094.8753 1705508 211.2014 137.5022 11.35441065668374"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2000-01-01T14:26:15.182304","11.35440443","0.17056180","32.9004","94.5731","211.6595","136.9290","0","U","12","999","66838","0.00155490000000","0.00002549","0.0000000000000","8361.660","126.823","3409.705","557.345","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","35578","32314968","0 VANGUARD R/B","1 00012U 59001B   00001.60156461 +.00002549 +00000-0 +15549-2 0  9994","2 00012 032.9004 094.5731 1705618 211.6595 136.9290 11.35440443668389"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2000-01-02T15:45:38.417759","11.35443348","0.17058290","32.9007","90.9390","217.1342","129.8333","0","U","12","999","66850","0.00141150000000","0.00002322","0.0000000000000","8361.646","126.822","3409.865","557.157","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","35578","32314969","0 VANGUARD R/B","1 00012U 59001B   00002.65669465 +.00002322 +00000-0 +14115-2 0  9990","2 00012 032.9007 090.9390 1705829 217.1342 129.8333 11.35443348668508"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2000-01-01T16:49:00.753024","10.46585352","0.20378880","34.2540","107.3568","85.1551","297.7132","0","U","16","999","67475","-0.00001866000000","-0.00000033","0.0000000000000","8828.474","137.590","4249.484","651.195","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","35578","32314970","0 VANGUARD R/B","1 00016U 58002A   00001.70070316 -.00000033 +00000-0 -18660-4 0  9990","2 00016 034.2540 107.3568 2037888 085.1551 297.7132 10.46585352674757"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2000-01-02T13:26:03.441119","10.46585763","0.20378900","34.2540","104.8857","88.7609","294.4032","0","U","16","999","67484","0.00003922300000","0.00000009","0.0000000000000","8828.472","137.590","4249.483","651.191","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","35578","32314971","0 VANGUARD R/B","1 00016U 58002A   00002.55976205  .00000009  00000-0  39223-4 0  9995","2 00016 034.2540 104.8857 2037890 088.7609 294.4032 10.46585763674845"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:26:27","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2000-01-02T04:44:06.761472","11.42835121","0.17263790","33.3432","336.5527","145.7190","226.7975","0","U","20","999","36905","0.00029075000000","0.00000685","0.0000000000000","8325.552","126.002","3384.723","510.111","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","35578","32314973","0 VANGUARD 3","1 00020U 59007A   00002.19730048 +.00000685 +00000-0 +29075-3 0  9992","2 00020 033.3432 336.5527 1726379 145.7190 226.7975 11.42835121369054"
