CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:23","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2002-01-01T16:30:34.192800","10.83254365","0.18552080","34.2591","92.2053","290.0819","51.0126","0","U","5","999","47359","0.00238440000000","0.00001902","0.0000000000000","8628.099","132.932","3850.656","649.272","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","6492","1829328","0 VANGUARD 1","1     5U 58002B   02001.68789575 +.00001902 +00000-0 +23844-2 0  9993","2     5 034.2591 092.2053 1855208 290.0819 051.0126 10.83254365473590"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:26","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2002-01-02T14:38:37.721184","10.83257837","0.18551900","34.2591","89.3724","294.2206","47.5816","0","U","5","999","47369","0.00238250000000","0.00001900","0.0000000000000","8628.081","132.932","3850.619","649.273","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","6493","1836533","0 VANGUARD 1","1     5U 58002B   02002.61015881 +.00001900 +00000-0 +23825-2 0  9996","2     5 034.2591 089.3724 1855190 294.2206 047.5816 10.83257837473692"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:23","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2002-01-01T14:17:58.591392","11.79200982","0.14970190","32.8634","66.6091","143.7687","227.4263","0","U","11","999","81791","0.00153710000000","0.00002810","0.0000000000000","8153.490","122.116","2995.948","554.762","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","6492","1829329","0 VANGUARD 2","1    11U 59001A   02001.59581703 +.00002810 +00000-0 +15371-2 0  9998","2    11 032.8634 066.6091 1497019 143.7687 227.4263 11.79200982817916"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:29:45","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2002-01-01T12:16:03.632159","11.79200429","0.14970100","32.8634","66.9237","143.2979","228.0154","0","U","11","999","81790","0.00153280000000","0.00002802","0.0000000000000","8153.492","122.116","2995.943","554.771","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","35644","37160580","0 VANGUARD 2","1 00011U 59001A   02001.51115315  .00002802  00000-0  15328-2 0  9995","2 00011 032.8634 066.9237 1497010 143.2979 228.0154 11.79200429817902"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:26","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2002-01-02T12:39:01.686239","11.79207652","0.14969270","32.8636","63.1513","148.9614","220.8772","0","U","11","999","81802","0.00162590000000","0.00002973","0.0000000000000","8153.459","122.115","2995.838","554.811","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","6493","1836534","0 VANGUARD 2","1    11U 59001A   02002.52710285 +.00002973 +00000-0 +16259-2 0  9997","2    11 032.8636 063.1513 1496927 148.9614 220.8772 11.79207652818029"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:23","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2002-01-01T13:46:25.494815","11.38487315","0.16936810","32.9012","88.7990","46.8592","326.1723","0","U","12","999","75160","0.00116680000000","0.00001923","0.0000000000000","8346.735","126.483","3382.271","554.929","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","6492","1829330","0 VANGUARD R/B","1    12U 59001B   02001.57390619 +.00001923 +00000-0 +11668-2 0  9990","2    12 032.9012 088.7990 1693681 046.8592 326.1723 11.38487315751605"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:26","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2002-01-02T17:09:05.069663","11.38492201","0.16938410","32.9004","84.8457","52.8036","321.5495","0","U","12","999","75173","0.00119280000000","0.00001968","0.0000000000000","8346.711","126.483","3382.376","554.776","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","6493","1836535","0 VANGUARD R/B","1    12U 59001B   02002.71464201 +.00001968 +00000-0 +11928-2 0  9994","2    12 032.9004 084.8457 1693841 052.8036 321.5495 11.38492201751738"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:23","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2002-01-01T20:29:17.178719","10.47543645","0.20333930","34.2725","162.7266","278.5796","59.0977","0","U","16","999","75139","0.00113690000000","0.00000842","0.0000000000000","8823.089","137.464","4239.035","650.873","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","6492","1829331","0 VANGUARD R/B","1    16U 58002A   02001.85367105 +.00000842 +00000-0 +11369-2 0  9996","2    16 034.2725 162.7266 2033393 278.5796 059.0977 10.47543645751390"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:29:45","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2002-01-01T20:29:17.178719","10.47543645","0.20333930","34.2725","162.7266","278.5796","59.0977","0","U","16","999","75139","0.00113690000000","0.00000842","0.0000000000000","8823.089","137.464","4239.035","650.873","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","35644","37160581","0 VANGUARD R/B","1 00016U 58002A   02001.85367105  .00000842  00000-0  11369-2 0  9996","2 00016 034.2725 162.7266 2033393 278.5796 059.0977 10.47543645751390"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:26","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2002-01-02T19:22:35.924735","10.47546163","0.20336990","34.2725","159.9695","282.6458","55.5472","0","U","16","999","75149","0.00129220000000","0.00000956","0.0000000000000","8823.075","137.464","4239.288","650.592","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","6493","1836536","0 VANGUARD R/B","1    16U 58002A   02002.80736024 +.00000956 +00000-0 +12922-2 0  9994","2    16 034.2725 159.9695 2033699 282.6458 055.5472 10.47546163751494"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:23","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2002-01-01T21:41:35.278655","11.46919720","0.17060840","33.3574","301.7871","349.5960","7.3175","0","U","20","999","45280","0.00358770000000","0.00008463","0.0000000000000","8305.773","125.553","3344.673","510.604","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","6492","1829332","0 VANGUARD 3","1    20U 59007A   02001.90388054 +.00008463 +00000-0 +35877-2 0  9996","2    20 033.3574 301.7871 1706084 349.5960 007.3175 11.46919720452800"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-08-17T15:29:45","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2002-01-02T03:57:54.548352","11.46925803","0.17060590","33.3559","300.8694","350.9644","6.3577","0","U","20","999","45283","0.00366250000000","0.00008640","0.0000000000000","8305.744","125.553","3344.618","510.600","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","35644","37163441","0 VANGUARD 3","1 00020U 59007A   02002.16521468  .00008640  00000-0  36625-2 0  9992","2 00020 033.3559 300.8694 1706059 350.9644 006.3577 11.46925803452830"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2004-05-28T18:52:26","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2002-01-02T22:46:52.780799","11.46939489","0.17058970","33.3558","298.1199","355.0586","3.4938","0","U","20","999","45292","0.00367010000000","0.00008651","0.0000000000000","8305.678","125.551","3344.406","510.680","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","6493","1836537","0 VANGUARD 3","1    20U 59007A   02002.94922200 +.00008651 +00000-0 +36701-2 0  9994","2    20 033.3558 298.1199 1705897 355.0586 003.4938 11.46939489452922"
