CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T05:10:45","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2005-01-01T22:39:18.444672","10.83850308","0.18510690","34.2459","322.4747","172.4327","190.8780","0","U","5","999","59252","-0.00006499500000","-0.00000046","0.0000000000000","8624.936","132.859","3843.336","650.266","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","83829","40317607","0 VANGUARD 1","1 00005U 58002B   05001.94396348 -.00000046 +00000-0 -64995-4 0  9991","2 00005 034.2459 322.4747 1851069 172.4327 190.8780 10.83850308592521"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T09:10:35","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2005-01-02T22:58:22.086047","10.83850215","0.18510770","34.2465","319.3597","176.9840","184.3871","0","U","5","999","59263","-0.00006536600000","-0.00000044","0.0000000000000","8624.937","132.859","3843.344","650.259","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","83942","40326618","0 VANGUARD 1","1 00005U 58002B   05002.95720007 -.00000044 +00000-0 -65366-4 0  9997","2 00005 034.2465 319.3597 1851077 176.9840 184.3871 10.83850215592632"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T05:10:45","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2005-01-01T21:50:22.602912","11.81998424","0.14844500","32.8684","301.7321","165.8278","198.9086","0","U","11","999","94758","0.00010024000000","0.00000204","0.0000000000000","8140.620","121.827","2970.920","554.051","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","83829","40317608","0 VANGUARD 2","1 00011U 59001A   05001.90998383 +.00000204 +00000-0 +10024-3 0  9998","2 00011 032.8684 301.7321 1484450 165.8278 198.9086 11.81998424947586"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T09:10:35","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2005-01-02T22:09:45.405215","11.81999170","0.14845580","32.8696","297.9502","171.5157","191.3753","0","U","11","999","94770","0.00011453000000","0.00000233","0.0000000000000","8140.617","121.827","2971.004","553.960","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","83942","40326619","0 VANGUARD 2","1 00011U 59001A   05002.92344219 +.00000233 +00000-0 +11453-3 0  9993","2 00011 032.8696 297.9502 1484558 171.5157 191.3753 11.81999170947706"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T05:10:45","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2005-01-01T21:20:54.114143","11.40756157","0.16814840","32.9032","241.3739","7.9665","354.4448","0","U","12","999","87674","0.00026276000000","0.00000434","0.0000000000000","8335.664","126.232","3359.158","555.901","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","83829","40317609","0 VANGUARD R/B","1 00012U 59001B   05001.88951521 +.00000434 +00000-0 +26276-3 0  9990","2 00012 032.9032 241.3739 1681484 007.9665 354.4448 11.40756157876749"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T09:10:35","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2005-01-02T22:34:19.638047","11.40756766","0.16814630","32.9028","237.7197","13.4602","350.5666","0","U","12","999","87686","0.00024329000000","0.00000400","0.0000000000000","8335.661","126.231","3359.137","555.916","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","83942","40326620","0 VANGUARD R/B","1 00012U 59001B   05002.94050507 +.00000400 +00000-0 +24329-3 0  9992","2 00012 032.9028 237.7197 1681463 013.4602 350.5666 11.40756766876869"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-01T14:01:22","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2005-01-01T01:55:57.671040","10.47956323","0.20307220","34.2656","245.8362","208.4271","138.8994","0","U","16","999","86627","0.00005465200000","0.00000056","0.0000000000000","8820.773","137.410","4233.892","651.384","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","83508","40309779","0 VANGUARD R/B","1 00016U 58002A   05001.08052860  .00000056  00000-0  54652-4 0  9994","2 00016 034.2656 245.8362 2030722 208.4271 138.8994 10.47956323866276"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T05:10:45","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2005-01-01T22:30:44.973791","10.47956501","0.20307230","34.2655","243.3632","212.0394","133.9114","0","U","16","999","86636","0.00006486300000","0.00000064","0.0000000000000","8820.772","137.410","4233.891","651.382","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","83829","40317610","0 VANGUARD R/B","1 00016U 58002A   05001.93802053 +.00000064 +00000-0 +64863-4 0  9999","2 00016 034.2655 243.3632 2030723 212.0394 133.9114 10.47956501866364"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T09:10:35","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2005-01-02T21:22:46.377119","10.47956812","0.20306390","34.2657","240.6159","216.0497","128.4685","0","U","16","999","86646","0.00008383400000","0.00000078","0.0000000000000","8820.770","137.410","4233.815","651.455","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","83942","40326621","0 VANGUARD R/B","1 00016U 58002A   05002.89081455 +.00000078 +00000-0 +83834-4 0  9994","2 00016 034.2657 240.6159 2030639 216.0497 128.4685 10.47956812866462"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2005-01-03T05:10:45","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2005-01-01T13:04:40.140191","11.50456411","0.16921430","33.3567","39.8337","340.0092","14.1251","0","U","20","999","57890","0.00036736000000","0.00000899","0.0000000000000","8288.742","125.167","3313.181","508.034","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","83829","40317611","0 VANGUARD 3","1 00020U 59007A   05001.54490903 +.00000899 +00000-0 +36736-3 0  9997","2 00020 033.3567 039.8337 1692143 340.0092 014.1251 11.50456411578909"
