CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2006-01-01T21:28:13.516895","10.83832515","0.18480390","34.2542","280.2534","11.7582","352.0724","0","U","5","999","63212","0.00026713000000","0.00000195","0.0000000000000","8625.031","132.861","3840.835","652.956","PAYLOAD","SMALL","US","1958-03-17","AFETR","","221055","55966532","0 VANGUARD 1","1 00005U 58002B   06001.89460089 +.00000195 +00000-0 +26713-3 0  9998","2 00005 034.2542 280.2534 1848039 011.7582 352.0724 10.83832515632121"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2006-01-02T21:48:33.449471","10.83831996","0.18477010","34.2532","277.1377","16.3191","348.9513","0","U","5","999","63223","0.00014485000000","0.00000098","0.0000000000000","8625.033","132.861","3840.547","653.250","PAYLOAD","SMALL","US","1958-03-17","AFETR","","221056","55974368","0 VANGUARD 1","1 00005U 58002B   06002.90872048 +.00000098 +00000-0 +14485-3 0  9998","2 00005 034.2532 277.1377 1847701 016.3191 348.9513 10.83831996632236"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T11:20:22","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2006-01-01T11:13:10.342848","11.82198862","0.14834990","32.8712","21.4141","51.1744","321.2206","0","U","11","999","99073","0.00016313000000","0.00000291","0.0000000000000","8139.700","121.806","2969.089","554.041","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","221187","55984157","0 VANGUARD 2","1 00011U 59001A   06001.46748082  .00000291  00000-0  16313-3 0  9992","2 00011 032.8712 021.4141 1483499 051.1744 321.2206 11.82198862990730"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2006-01-01T15:16:31.559231","11.82198969","0.14835010","32.8712","20.7833","52.1231","320.4514","0","U","11","999","99075","0.00016341000000","0.00000292","0.0000000000000","8139.700","121.806","2969.090","554.039","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","221055","55966533","0 VANGUARD 2","1 00011U 59001A   06001.63647638 +.00000292 +00000-0 +16341-3 0  9998","2 00011 032.8712 020.7833 1483501 052.1231 320.4514 11.82198969990759"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2006-01-02T11:33:16.730496","11.82199669","0.14834070","32.8707","17.6314","56.8661","316.5629","0","U","11","999","99085","0.00018048000000","0.00000323","0.0000000000000","8139.696","121.806","2969.010","554.113","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","221056","55974369","0 VANGUARD 2","1 00011U 59001A   06002.48144364 +.00000323 +00000-0 +18048-3 0  9991","2 00011 032.8707 017.6314 1483407 056.8661 316.5629 11.82199669990857"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2006-01-02T10:47:58.281503","11.40993383","0.16823770","32.8952","49.8352","118.6825","259.2941","0","U","12","999","91850","-0.00000937300000","-0.00000018","0.0000000000000","8334.509","126.205","3358.552","554.195","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","221056","55974370","0 VANGUARD R/B","1 00012U 59001B   06002.44998011 -.00000018 +00000-0 -93730-5 0  9990","2 00012 032.8952 049.8352 1682377 118.6825 259.2941 11.40993383918506"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T11:28:03","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2006-01-02T04:43:32.556575","10.47914499","0.20311850","34.2795","270.0199","310.0313","33.8638","0","U","16","999","90468","-0.00014537000000","-0.00000096","0.0000000000000","8821.008","137.415","4234.582","651.163","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","221344","55985280","0 VANGUARD R/B","1 00016U 58002A   06002.19690459 -.00000096  00000-0 -14537-3 0  9993","2 00016 034.2795 270.0199 2031185 310.0313 033.8638 10.47914499904684"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2006-01-01T21:51:38.021471","10.47914540","0.20312190","34.2799","270.8453","308.8257","34.7510","0","U","16","999","90465","-0.00014914000000","-0.00000098","0.0000000000000","8821.007","137.415","4234.612","651.132","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","221055","55966534","0 VANGUARD R/B","1 00016U 58002A   06001.91085673 -.00000098 +00000-0 -14914-3 0  9999","2 00016 034.2799 270.8453 2031219 308.8257 034.7510 10.47914540904652"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2006-01-02T23:01:58.484352","10.47914310","0.20311530","34.2795","267.8209","313.2412","31.5226","0","U","16","999","90476","-0.00015004000000","-0.00000100","0.0000000000000","8821.009","137.415","4234.556","651.192","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","221056","55974371","0 VANGUARD R/B","1 00016U 58002A   06002.95970468 -.00000100 +00000-0 -15004-3 0  9994","2 00016 034.2795 267.8209 2031153 313.2412 031.5226 10.47914310904769"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2006-01-03T09:48:33","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2006-01-01T21:49:59.698272","11.50634240","0.16884430","33.3338","189.5905","101.1856","278.2421","0","U","20","999","62099","0.00022884000000","0.00000530","0.0000000000000","8287.888","125.148","3309.116","510.391","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","221055","55966535","0 VANGUARD 3","1 00020U 59007A   06001.90971873 +.00000530 +00000-0 +22884-3 0  9999","2 00020 033.3338 189.5905 1688443 101.1856 278.2421 11.50634240620998"
